yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d_y,e_p,d_e,b_m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
194305,12.11,0.59,1.09,0.052698,0.045651,0.0274,0.0391,0.0244,0.005,0.0048,0.0038,0.0003,0.04872,0.050906,0.090008,0.541284,0.757898,0.0206,0.0117,-0.0002,0.005747,,0.000946,0.00109,,,0.001819385,,,,,,-1.48338,,,0.281456,0,,,,,0.055312,0.412464,0.656368,1,0.370386,,0.05307,,,,,,0.298225,,
194306,12.35,0.59,1.1,0.021689,0.017142,0.0272,0.0388,0.0244,0.0018,0.0048,0.0038,0.0003,0.047773,0.04872,0.089069,0.536364,0.746269,0.0206,0.0116,0.003,0,,0.0012,0.001069,,,0.001349733,,,,,,-1.468556,,,0.271912,0,,,,,0.009306,0.410049,0.167811,1,0.376158,,0.036913,,,,,,0.289257,,
194307,11.68,0.5933,1.0933,-0.053092,-0.054238,0.0269,0.0381,0.0245,-0.0001,0.0019,0.0038,0.0003,0.050799,0.048043,0.093607,0.542684,0.779599,0.0207,0.0112,0.002,-0.005714,,0.017824,0.002433,,,0.001390142,,,,,,-1.496995,,,0.297738,0,,,,,-0.178097,0.416822,0.206865,0.941229,0.360076,,0.041654,,,,,,0.309075,,
194308,11.8,0.5967,1.0867,0.016232,0.010751,0.0269,0.0381,0.0245,0.0021,0.0019,0.0038,0.0003,0.050565,0.051085,0.092091,0.549078,0.783194,0.0207,0.0112,-0.0002,-0.005747,,0.013954,0.001707,,,0.001276919,,,,,,-1.387154,,,0.314218,0,,,,,0.002407,0.417559,0.250409,0.936909,0.358423,,0.0347,,,,,,0.327709,,
194309,12.08,0.6,1.08,0.027498,0.023331,0.0269,0.0383,0.0246,0.0011,0.0005,0.0038,0.0003,0.049669,0.050847,0.089404,0.555556,0.763631,0.0208,0.0114,-0.0006,0.00578,,0.013693,0.000608,,,0.001628115,,,,,,-1.333326,,,0.335277,0,,,,,0.04881,0.43119,0.252722,0.960911,0.367605,,0.033697,,,,,,0.324419,,
194310,11.92,0.6033,1.0333,-0.01165,-0.0125,0.027,0.0382,0.0247,0.0005,-0.0009,0.0038,0.0003,0.050615,0.049945,0.086689,0.583873,0.773736,0.0209,0.0112,-0.0014,0,,0.01687,0.000764,,,0.001396357,,,,,,-1.333784,,,0.345946,0,,,,,-0.032444,0.399214,0.226891,0.948361,0.362804,,0.034417,,,,,,0.254177,,
194311,11.02,0.6067,0.9867,-0.067052,-0.077966,0.0271,0.0383,0.0248,0,-0.0023,0.0038,0.0003,0.055051,0.050895,0.089534,0.614865,0.825808,0.021,0.0112,-0.0023,0,,0.019081,0.002002,,,0.001824046,,,,,,-1.468833,,,0.354793,0,,,,,-0.057533,0.397419,0.258606,0.888561,0.339927,,0.043486,,,,,,0.292372,,
194312,11.67,0.61,0.94,0.070305,0.065211,0.0274,0.0382,0.0248,0.0018,0.0049,0.0038,0.0003,0.052271,0.055354,0.080548,0.648936,0.787402,0.021,0.0108,0.0031,0,,0.014423,0.000989,,,0.001962398,,,,,,-1.402786,,,0.33762,0,,,,,0.104508,0.432768,0.353496,0.931902,0.356508,,0.041782,,,,,,0.306616,,
194401,11.85,0.6133,0.9367,0.018622,0.01731,0.0272,0.0376,0.0248,0.0021,0.002,0.0038,0.0003,0.051758,0.052556,0.079044,0.654804,0.778748,0.021,0.0104,-0.0001,0,,0.019253,0.00064,,,0.001496229,,,,,,-1.384799,,,0.344856,0,,,,,0.060952,0.404652,0.28617,0.942258,0.360469,,0.044914,,,,,,0.300183,,
194402,11.82,0.6167,0.9333,0.006479,0.000238,0.0274,0.0372,0.0247,0.0032,0.0034,0.0038,0.0003,0.052171,0.052039,0.078962,0.660715,0.785033,0.0209,0.0098,0.0002,0,,0.019494,0.000643,,,0.00181182,,,,,,-1.326218,,,0.34876,0,,,,,0.01492,0.432256,0.303337,0.934714,0.357583,,0.037623,,,,,,0.200934,,
194403,12.02,0.62,0.93,0.021313,0.017309,0.0274,0.037,0.0247,0.0021,0.0048,0.0038,0.0002,0.051581,0.052453,0.077371,0.666667,0.813886,0.0209,0.0096,0.0027,0,,0.019145,0.000636,,,0.001591801,,,,,,-1.385245,,,0.343003,0,,,,,0.015733,0.441846,0.286969,0.952133,0.364247,,0.045827,,,,,,0.197594,,
194404,11.87,0.6233,0.9267,-0.012427,-0.013433,0.0274,0.0368,0.0248,0.0013,0.0034,0.0038,0.0003,0.052513,0.051858,0.078068,0.672661,0.829601,0.021,0.0094,0.0021,0.005747,,0.020078,0.000764,,,0.002125858,,,,,,-1.328392,,,0.338857,0,,,,,-0.054019,0.443215,0.281164,0.934097,0.357347,,0.025254,,,,,,0.211988,,
194405,12.35,0.6267,0.9233,0.048841,0.040864,0.0273,0.0363,0.0247,0.0028,0.0005,0.0038,0.0003,0.050742,0.052794,0.074764,0.678701,0.794432,0.0209,0.009,-0.0023,0,,0.018397,0.000412,,,0.003080381,,,,,,-1.301779,,,0.328265,0,,,,,0.095361,0.420583,0.289241,0.975449,0.373167,,0.032851,,,,,,0.210047,,
194406,12.98,0.63,0.92,0.054574,0.049768,0.0273,0.0359,0.0248,0.0008,0.002,0.0038,0.0003,0.048536,0.051012,0.070878,0.684783,0.761558,0.021,0.0086,0.0012,0.005714,,0.018202,0.000718,,,0.002742912,,,,,,-1.4385,,,0.320883,0,,,,,0.076616,0.407293,0.187319,0.998318,0.389275,,0.07182,,,,,,0.195319,,
194407,12.71,0.6333,0.9133,-0.01947,-0.020629,0.0272,0.0357,0.0247,0.0036,0.0034,0.0038,0.0003,0.04983,0.048793,0.071859,0.693431,0.77339,0.0209,0.0085,-0.0002,0.005682,,0.004323,0.00094,,,0.003464132,,,,,,-1.514356,,,0.315129,0,,,,,-0.004552,0.395949,0.205689,0.970831,0.38332,,0.027452,,,,,,0.198161,,
194408,12.82,0.6367,0.9067,0.0147,0.008208,0.0271,0.0355,0.0247,0.0027,0.0034,0.0038,0.0003,0.049662,0.050092,0.070723,0.702206,0.76876,0.0209,0.0084,0.0007,0,,0.00807,0.00056,,,0.003016634,,,,,,-1.409041,,,0.32392,0,,,,,0.024656,0.398562,0.15794,0.976678,0.385628,,0.042654,,,,,,0.212466,,
194409,12.78,0.64,0.9,-0.000692,-0.003118,0.0272,0.0356,0.0247,0.0014,0.0019,0.0038,0.0002,0.050078,0.049922,0.070423,0.711111,0.772333,0.0209,0.0084,0.0005,0,,0.008963,0.001116,,,0.002915031,,,,,,-1.44888,,,0.313353,0,,,,,-0.049544,0.381838,0.192338,0.972159,0.383844,,0.031721,,,,,,0.26385,,
194410,12.78,0.64,0.91,0.002435,0.001045,0.0272,0.0355,0.0247,0.0012,0.0019,0.0038,0.0003,0.050078,0.050078,0.071205,0.703297,0.771173,0.0209,0.0083,0.0007,0,,0.00651,0.000675,,,0.003029399,,,,,,-1.359695,,,0.312459,0,,,,,-0.065865,0.37632,0.205275,0.973621,0.384422,,0.018932,,,,,,0.2536,,
194411,12.83,0.64,0.92,0.017326,0.005832,0.0272,0.0353,0.0247,0.0024,0.0048,0.0038,0.0003,0.049883,0.050078,0.071707,0.695652,0.766986,0.0209,0.0081,0.0024,0,,0.005783,0.000424,,,0.003448245,,,,,,-1.384125,,,0.30025,0,,,,,0.032962,0.38707,0.180493,0.978937,0.38652,,0.02652,,,,,,0.251893,,
194412,13.28,0.64,0.93,0.044778,0.041034,0.027,0.0349,0.0246,0.0042,0.0149,0.0038,0.0002,0.048193,0.049883,0.07003,0.688172,0.743764,0.0208,0.0079,0.0107,0.00565,,0.019062,0.000872,,,0.003522317,,,,,,-1.463287,,,0.292887,0,,,,,0.084779,0.350977,-0.00161,0.997702,0.398589,,0.048094,,,,,,0.201573,,
194501,13.47,0.6433,0.94,0.011901,0.010784,0.0269,0.0346,0.024,0.0127,0.0076,0.0038,0.0003,0.04776,0.048444,0.069785,0.684397,0.735342,0.0202,0.0077,-0.0051,0,,0.016454,0.000924,,,0.004099204,,,,,,-1.566558,,,0.278955,0,,,,,-0.001006,0.352687,-0.045752,0.986012,0.403153,,0.044066,,,,,,0.193886,,
194502,14.3,0.6467,0.95,0.069472,0.063578,0.0265,0.0341,0.0236,0.0077,0.0046,0.0038,0.0002,0.045221,0.048008,0.066434,0.680702,0.704489,0.0198,0.0076,-0.0031,0,,0.014836,0.000655,,,0.003660855,,,,,,-1.551985,,,0.27155,0,,,,,0.11094,0.344551,-0.056342,1,0.42081,,0.039704,,,,,,0.195296,,
194503,13.64,0.65,0.96,-0.041685,-0.04499,0.0262,0.0338,0.0236,0.0021,0.0018,0.0038,0.0002,0.047654,0.045455,0.070381,0.677083,0.767883,0.0198,0.0076,-0.0003,0,,0.015963,0.001887,,,0.00407661,,,,,,-1.640037,,,0.260825,0,,,,,-0.058305,0.327845,-0.016694,0.953814,0.404177,,0.033758,,,,,,0.286279,,
194504,14.84,0.65,0.9733,0.090524,0.089465,0.0261,0.0336,0.0228,0.016,0.0018,0.0038,0.0003,0.043801,0.047654,0.065588,0.667808,0.715063,0.019,0.0075,-0.0142,0,,0.015086,0.001398,,,0.003376176,,,,,,-1.553703,,,0.238284,0,,,,,0.067553,0.359346,-0.044236,1,0.434032,,0.03532,,,,,,0.312122,,
194505,15.01,0.65,0.9867,0.020041,0.011624,0.0262,0.0332,0.0226,0.0056,-0.0011,0.0038,0.0003,0.043304,0.043801,0.065734,0.658784,0.702911,0.0188,0.007,-0.0067,0.005618,,0.019773,0.000921,,,0.004202059,,,,,,-1.573554,,,0.206741,0,,,,,0.069174,0.338716,-0.052713,0.995387,0.441535,,0.042456,,,,,,0.303653,,
194506,14.96,0.65,1,0.00238,0.000134,0.0261,0.0329,0.0217,0.0169,0.0032,0.0038,0.0002,0.043449,0.043304,0.066845,0.65,0.718843,0.0179,0.0068,-0.0137,0.011173,,0.019466,0.000866,,,0.004146985,,,,,,-1.555911,,,0.179785,0,,,,,-0.04655,0.351161,0.102764,0.973326,0.43175,,0.058402,,,,,,0.226427,,
194507,14.66,0.6533,0.9967,-0.021539,-0.022479,0.026,0.0326,0.0224,-0.0086,-0.0011,0.0038,0.0003,0.044566,0.043672,0.067985,0.655518,0.726302,0.0186,0.0066,0.0075,0,,0.020437,0.001814,,,0.003791896,,,,,,-1.632249,,,0.152297,0,,,,,0.027013,0.33005,0.099015,0.963331,0.427316,,0.028284,,,,,,0.26764,,
194508,15.51,0.6567,0.9933,0.059852,0.054027,0.0261,0.0326,0.0223,0.0026,0.0004,0.0038,0.0003,0.042338,0.044793,0.064045,0.661074,0.678754,0.0185,0.0065,-0.0022,0,,0.018945,0.002097,,,0.003628926,,,,,,-1.700627,,,0.038586,0,,,,,0.062125,0.324941,0.126931,1,0.45725,,0.040645,,,,,,0.31372,,
194509,16.16,0.66,0.99,0.046361,0.043999,0.0262,0.0324,0.0221,0.0054,0.0032,0.0038,0.0003,0.040842,0.042553,0.061262,0.666667,0.656821,0.0183,0.0062,-0.0022,0,,0.017607,0.001439,,,0.003621746,,,,,,-1.579755,,,-0.059176,0,,,,,0.075979,0.318039,0.120897,0.99939,0.472519,,0.048722,,,,,,0.319991,,
194510,16.65,0.66,0.98,0.030815,0.029862,0.0262,0.032,0.0216,0.0104,0.0032,0.0038,0.0003,0.03964,0.040842,0.058859,0.673469,0.633976,0.0178,0.0058,-0.0072,0,,0.018581,0.000981,,,0.003847862,,,,,,-1.729543,,,-0.104264,0,,,,,0.080305,0.32319,0.10689,0.997541,0.489545,,0.049573,,,,,,0.267536,,
194511,17.19,0.66,0.97,0.04495,0.035612,0.0262,0.0315,0.021,0.0125,0.0032,0.0038,0.0002,0.038394,0.03964,0.056428,0.680412,0.617884,0.0172,0.0053,-0.0093,0,,0.018934,0.001448,,,0.00373868,,,,,,-1.815064,,,-0.071802,0,,,,,0.074624,0.312396,0.041784,0.996513,0.502296,,0.052601,,,,,,0.241311,,
194512,17.36,0.66,0.96,0.011133,0.008805,0.0261,0.031,0.0199,0.0194,0.0133,0.0038,0.0003,0.038018,0.038394,0.0553,0.6875,0.613239,0.0161,0.0049,-0.0061,0.005525,,0.025525,0.001538,,,0.004328006,,,,,,-1.838924,,,-0.071394,0,,,,,-0.001591,0.305332,0.030438,0.985139,0.5061,,0.033732,,,,,,0.252549,,
194601,18.57,0.6667,0.94,0.069504,0.068515,0.0254,0.0301,0.0199,0.0025,0.0128,0.0038,0.0003,0.0359,0.038402,0.050619,0.70922,0.578004,0.0161,0.0047,0.0103,0,,0.027969,0.002645,,,0.004043741,,,,,,-1.887264,,,-0.132878,0,,,,,0.059832,0.299559,-0.079314,0.996689,0.536952,,0.081857,,,,,,0.297024,,
194602,17.28,0.6733,0.92,-0.065171,-0.069785,0.0248,0.0295,0.0198,0.0032,0.0034,0.0038,0.0003,0.038966,0.036259,0.053241,0.731884,0.622337,0.016,0.0047,0.0002,-0.005495,,0.031091,0.005942,,,0.00367128,,,,,,-2.067714,,,-0.187859,0,,,,,-0.040868,0.292567,-0.079716,0.920043,0.498701,,0.026586,,,,,,0.443232,,
194603,18.08,0.68,0.9,0.049118,0.046147,0.0247,0.0294,0.0198,0.001,0.0034,0.0038,0.0003,0.037611,0.039352,0.049779,0.755556,0.614853,0.016,0.0047,0.0024,0.01105,,0.031188,0.001497,,,0.003632854,,,,,,-1.815662,,,-0.092543,0,,,,,0.042771,0.292576,-0.019202,0.965878,0.523546,,0.041841,,,,,,0.437024,,
194604,18.76,0.68,0.88,0.035748,0.034706,0.0246,0.0296,0.0207,-0.0135,-0.0043,0.0038,0.0003,0.036247,0.037611,0.046908,0.772727,0.593413,0.0169,0.005,0.0092,0.005464,,0.031307,0.001078,,,0.003504573,,,,,,-1.817562,,,-0.114784,0,,,,,0.093673,0.295638,0.026554,0.992607,0.542461,,0.049013,,,,,,0.414658,,
194605,19.18,0.68,0.86,0.028785,0.023202,0.0251,0.0302,0.0209,-0.0012,0.0019,0.0038,0.0003,0.035454,0.036247,0.044838,0.790698,0.57801,0.0171,0.0051,0.0031,0.005435,,0.032,0.001272,,,0.003152454,,,,,,-1.814263,,,-0.156221,0,,,,,0.075448,0.29158,0.044413,0.998965,0.556917,,0.047819,,,,,,0.227303,,
194606,18.43,0.68,0.84,-0.035289,-0.037521,0.0249,0.0303,0.0206,0.007,0.0019,0.0038,0.0003,0.036896,0.035454,0.045578,0.809524,0.596732,0.0168,0.0054,-0.0051,0.010811,,0.033592,0.001482,,,0.003061925,,,,,,-1.854698,,,-0.100203,0,,,,,0.068717,0.285931,0.112817,0.967624,0.539444,,0.021382,,,,,,0.250228,,
194607,17.96,0.6833,0.8567,-0.02735,-0.028429,0.0248,0.0303,0.0209,-0.004,-0.0012,0.0038,0.0003,0.038047,0.037077,0.047699,0.797665,0.608752,0.0171,0.0055,0.0028,0.058824,,0.039175,0.001704,,,0.002614344,,,,,,-1.835771,,,-0.071166,0,,,,,-0.0052,0.321518,0.115765,0.948518,0.528793,,0.024951,,,,,,0.304837,,
194608,16.65,0.6867,0.8733,-0.068855,-0.073365,0.0251,0.0303,0.0217,-0.0111,-0.0088,0.0038,0.0003,0.041241,0.038233,0.052452,0.78626,0.648554,0.0179,0.0052,0.0023,0.020202,,0.043268,0.00198,,,0.002689916,,,,,,-1.759633,,,-0.038989,0,,,,,-0.115902,0.305947,0.155967,0.890306,0.49634,,0.023488,,,,,,0.328049,,
194609,14.96,0.69,0.89,-0.104112,-0.106619,0.0258,0.031,0.0219,-0.0009,-0.0026,0.0038,0.0003,0.046123,0.041441,0.059492,0.775281,0.711634,0.0181,0.0052,-0.0017,0.009901,,0.049112,0.016025,,,0.002606433,,,,,,-2.248206,,,-0.024372,0,,,,,-0.077039,0.320111,0.173228,0.811388,0.452344,,0.037001,,,,,,0.537292,,
194610,14.84,0.6967,0.9467,-0.005636,-0.006817,0.026,0.0315,0.0216,0.0074,0.002,0.0038,0.0003,0.046945,0.046569,0.063792,0.735916,0.725392,0.0178,0.0055,-0.0054,0.019608,,0.048597,0.006116,,,0.002375384,,,,,,-1.844889,,,-0.010085,0,,,,,0.134133,0.294164,0.163,0.796,0.443765,,0.033357,,,,,,0.540434,,
194611,14.67,0.7033,1.0033,-0.003801,-0.011741,0.0259,0.0317,0.022,-0.0054,-0.0025,0.0038,0.0003,0.047944,0.047394,0.068393,0.700999,0.7227,0.0182,0.0058,0.0029,0.024038,,0.048072,0.003914,,,0.002025711,,,,,,-1.82094,,,-0.008084,0,,,,,-0.027635,0.302711,0.196174,0.798965,0.445418,,0.029018,,,,,,0.541556,,
194612,15.3,0.71,1.06,0.046818,0.041973,0.0261,0.0317,0.0212,0.0145,0.0113,0.0038,0.0003,0.046405,0.048398,0.069281,0.669811,0.692438,0.0174,0.0056,-0.0032,0.00939,,0.036076,0.002716,,,0.001781041,,,,,,-1.747633,,,-0.006116,0,,,,,0.100992,0.32073,0.231059,0.833882,0.464884,,0.036619,,,,,,0.414457,,
194701,15.66,0.7133,1.13,0.022013,0.020953,0.0257,0.0313,0.0214,-0.0006,0.0005,0.0038,0.0003,0.045551,0.046623,0.072158,0.631268,0.680004,0.0176,0.0056,0.0011,0,,0.031538,0.002112,,,0.001329584,,,,,,-1.691708,,,0.001748,0,,,,,-0.017667,0.311326,0.218029,0.849129,0.473385,,0.03015,,,,,,0.351642,,
194702,15.43,0.7167,1.2,-0.008307,-0.015166,0.0255,0.0312,0.0214,0.0021,0.0005,0.0038,0.0003,0.046446,0.045764,0.077771,0.597223,0.685858,0.0176,0.0057,-0.0016,0,,0.030103,0.001364,,,0.001159422,,,,,,-1.685659,,,0.003626,0,,,,,0.02721,0.313369,0.220499,0.841882,0.469344,,0.02033,,,,,,0.30113,,
194703,15.17,0.72,1.27,-0.015008,-0.017731,0.0255,0.0315,0.0213,0.002,0.0067,0.0038,0.0003,0.047462,0.046662,0.083718,0.566929,0.741535,0.0175,0.006,0.0047,0.018605,,0.03102,0.002411,,,0.000803646,,,,,,-1.640393,,,0.005465,0,,,,,-0.064578,0.329811,0.228218,0.833882,0.464884,,0.024704,,,,,,0.321022,,
194704,14.58,0.7333,1.3267,-0.03956,-0.040772,0.0253,0.0316,0.0217,-0.0037,0.002,0.0038,0.0003,0.050297,0.048341,0.090992,0.552762,0.770042,0.0179,0.0063,0.0057,0,,0.031346,0.002307,,,0.002775418,,,,,,-1.655777,,,-0.006353,0,,,,,-0.02743,0.352618,0.251334,0.803012,0.447674,,0.029889,,,,,,0.351228,,
194705,14.45,0.7467,1.3833,-0.00099,-0.01047,0.0253,0.0317,0.0216,0.0033,0.002,0.0038,0.0003,0.051672,0.051212,0.095732,0.539761,0.776366,0.0178,0.0064,-0.0013,0,,0.025894,0.002545,,,0.003228613,,,,,,-1.6268,,,-0.006446,0,,,,,0.039859,0.362366,0.260329,0.796471,0.444028,,0.02803,,,,,,0.379457,,
194706,15.21,0.76,1.44,0.053991,0.050908,0.0255,0.0321,0.0216,0.001,0.0004,0.0038,0.0003,0.049967,0.052595,0.094675,0.527778,0.741117,0.0178,0.0066,-0.0006,0.004566,,0.026473,0.001959,,,0.003817236,,,,,,-1.61256,,,-0.010446,0,,,,,0.041548,0.333761,0.268335,0.854211,0.465147,,0.02843,,,,,,0.346894,,
194707,15.76,0.77,1.4767,0.039572,0.038369,0.0255,0.0318,0.0214,0.0063,0.002,0.0066,0.0003,0.048858,0.050625,0.093697,0.521444,0.717327,0.0148,0.0063,-0.0043,0.009091,,0.020641,0.001977,,,0.003204943,,,,,,-1.711321,,,-0.020315,0,,,,,0.011681,0.327816,0.277453,0.895658,0.480573,,0.032304,,,,,,0.323229,,
194708,15.32,0.78,1.5133,-0.023076,-0.029148,0.0256,0.0317,0.021,0.0081,-0.0071,0.0075,0.0003,0.050914,0.049492,0.098781,0.51542,0.734694,0.0135,0.0061,-0.0152,0.013514,,0.023177,0.000824,,,0.003572172,,,,,,-1.53862,,,-0.018433,0,,,,,0.03144,0.353999,0.273903,0.938993,0.469213,,0.022845,,,,,,0.288687,,
194709,15.11,0.79,1.55,-0.009928,-0.01369,0.0261,0.0323,0.0213,-0.0044,-0.0131,0.008,0.0006,0.052283,0.051567,0.102581,0.509677,0.740323,0.0133,0.0062,-0.0087,0.022222,,0.024059,0.001385,,,0.004326897,,,,,,-1.570941,,,-0.014633,0,,,,,0.049273,0.335507,0.271456,0.949906,0.465645,,0.02773,,,,,,0.285469,,
194710,15.43,0.8067,1.57,0.020578,0.019353,0.027,0.0335,0.0217,-0.0037,-0.0099,0.0085,0.0006,0.052279,0.053386,0.10175,0.513801,0.722733,0.0132,0.0065,-0.0062,0,,0.023019,0.00087,,,0.004313622,,,,,,-1.565503,,,-0.008974,0,,,,,0.004181,0.337788,0.295541,0.973026,0.476979,,0.0284,,,,,,0.25695,,
194711,14.99,0.8233,1.59,-0.017633,-0.029555,0.0277,0.0344,0.0229,-0.0174,-0.0098,0.0092,0.0006,0.054925,0.053359,0.106071,0.517819,0.731993,0.0137,0.0067,0.0076,0.004348,,0.025908,0.000476,,,0.004494506,,,,,,-1.488226,,,0.000388,0,,,,,-0.052649,0.350918,0.305849,0.960717,0.470945,,0.023159,,,,,,0.230896,,
194712,15.3,0.84,1.61,0.030784,0.025273,0.0286,0.0352,0.0243,-0.0192,0.0024,0.0095,0.0008,0.054902,0.056037,0.105229,0.521739,0.725326,0.0148,0.0066,0.0216,0.012987,,0.025922,0.001107,,,0.004760925,,,,,,-1.587584,,,0.000195,0.028,,,,,0.044704,0.356385,0.306246,0.969548,0.475274,,0.039228,,,,,,0.200286,,
194801,14.69,0.8433,1.6433,-0.037743,-0.038905,0.0286,0.0352,0.0243,0.002,0.0024,0.0097,0.0007,0.057409,0.05512,0.111867,0.513185,0.751888,0.0146,0.0066,0.0004,0.012821,,0.027765,0.001049,,,0.004387162,,,,,,-1.511404,,,0.001864,0,,,,,0.038466,0.343009,0.270974,0.935296,0.458483,,0.038914,,,,,,0.205305,,
194802,14,0.8467,1.6767,-0.040232,-0.047782,0.0285,0.0353,0.0241,0.0046,0.0039,0.01,0.0007,0.060476,0.057636,0.119762,0.504969,0.78777,0.0141,0.0068,-0.0007,-0.008439,,0.029134,0.001756,,,0.004903365,,,,,,-1.54452,,,-0.000229,0,,,,,-0.080307,0.316599,0.254175,0.892695,0.4376,,0.030306,,,,,,0.281183,,
194803,15.08,0.85,1.71,0.08144,0.077022,0.0283,0.0353,0.0241,0.0034,0.0115,0.01,0.0009,0.056366,0.060714,0.113395,0.497076,0.841422,0.0141,0.007,0.0081,-0.004255,,0.027187,0.002082,,,0.005808515,,,,,,-1.550527,,,-0.015487,0,,,,,0.093903,0.339364,0.261597,0.948354,0.464884,,0.037562,,,,,,0.335241,,
194804,15.48,0.85,1.76,0.030821,0.028537,0.0278,0.0347,0.0239,0.0045,0.0038,0.01,0.0008,0.05491,0.056366,0.113695,0.482955,0.825993,0.0139,0.0069,-0.0007,0.017094,,0.027454,0.000552,,,0.004150179,,,,,,-1.491541,,,-0.017562,0,,,,,0.066861,0.329871,0.27652,0.966069,0.473568,,0.03649,,,,,,0.30252,,
194805,16.69,0.85,1.81,0.084014,0.077523,0.0276,0.0338,0.0231,0.0141,0.0008,0.01,0.0008,0.050929,0.05491,0.108448,0.469613,0.781692,0.0131,0.0062,-0.0133,0.004202,,0.025578,0.001453,,,0.00445914,,,,,,-1.636426,,,-0.00465,0,,,,,0.079909,0.33859,0.265069,0.998325,0.500407,,0.037955,,,,,,0.218204,,
194806,16.74,0.85,1.86,0.007665,0.003687,0.0276,0.0334,0.0238,-0.0084,-0.0083,0.01,0.0009,0.050777,0.050929,0.111111,0.456989,0.786974,0.0138,0.0058,0.0001,0.008368,,0.023894,0.000907,,,0.003144237,,,,,,-1.629224,,,0.004326,0,,,,,0.07955,0.323375,0.171042,0.980845,0.497049,,0.03408,,,,,,0.172458,,
194807,15.85,0.8567,1.93,-0.052296,-0.053144,0.0281,0.0337,0.0241,-0.0021,-0.0052,0.01,0.0008,0.054048,0.051175,0.121767,0.443869,0.822258,0.0141,0.0056,-0.0031,0.012448,,0.022179,0.002767,,,0.002963176,,,,,,-1.619114,,,0.000377,0,,,,,-0.124211,0.337518,0.167074,0.938755,0.475719,,0.025918,,,,,,0.308867,,
194808,15.97,0.8633,2,0.015539,0.008123,0.0284,0.0344,0.0242,0.0001,0.0055,0.0106,0.0009,0.05406,0.054469,0.125235,0.431667,0.820538,0.0136,0.006,0.0054,0.004098,,0.019227,0.001185,,,0.002887863,,,,,,-1.506094,,,-0.007247,0,,,,,-0.021695,0.346743,0.188866,0.940723,0.476716,,0.025236,,,,,,0.311937,,
194809,15.49,0.87,2.07,-0.027016,-0.031159,0.0284,0.0345,0.0242,0.0014,0.0024,0.0109,0.0004,0.056165,0.054477,0.133635,0.42029,0.836231,0.0133,0.0061,0.001,0,,0.019128,0.002396,,,0.003053102,,,,,,-1.582601,,,-0.018581,0,,,,,-0.033469,0.334394,0.205666,0.923069,0.46777,,0.02449,,,,,,0.390418,,
194810,16.54,0.89,2.1433,0.070041,0.067023,0.0284,0.035,0.0243,0.0007,0.0024,0.0112,0.0004,0.053809,0.057456,0.129585,0.415242,0.791906,0.0131,0.0066,0.0017,-0.004082,,0.018134,0.000828,,,0.002189316,,,,,,-1.447862,,,-0.01512,0,,,,,0.048121,0.343754,0.216859,0.974736,0.493953,,0.023782,,,,,,0.323664,,
194811,14.75,0.91,2.2167,-0.098332,-0.109939,0.0284,0.0353,0.0239,0.0076,0.0085,0.0114,0.0004,0.061695,0.055018,0.150283,0.410526,0.870911,0.0125,0.0069,0.0009,-0.008197,,0.017792,0.006159,,,0.002376824,,,,,,-1.635212,,,-0.032031,0,,,,,-0.182249,0.336588,0.24262,0.886312,0.449143,,0.030835,,,,,,0.489125,,
194812,15.2,0.93,2.29,0.035952,0.029719,0.0279,0.0353,0.0237,0.0056,0.0131,0.0116,0.0004,0.061184,0.063051,0.150658,0.406114,0.840948,0.0121,0.0074,0.0075,-0.004132,,0.015015,0.000967,,,0.00163301,,,,,,-1.451783,,,-0.045333,0,,,,,0.069464,0.353012,0.306561,0.917892,0.465147,,0.036424,,,,,,0.437022,,
194901,15.22,0.9467,2.32,0.002676,0.001377,0.0271,0.0346,0.0233,0.0082,0.0038,0.0117,0.001,0.062199,0.062281,0.152431,0.408046,0.832403,0.0116,0.0075,-0.0044,-0.004149,,0.013298,0.001313,,,0.001776735,,,,,,-1.435914,,,-0.05872,0,,,,,0.055612,0.362668,0.267011,0.927314,0.469922,,0.032349,,,,,,0.425775,,
194902,14.62,0.9633,2.35,-0.031639,-0.041472,0.0271,0.0345,0.0231,0.0049,0.0038,0.0117,0.0009,0.065891,0.063294,0.160739,0.409929,0.861551,0.0114,0.0074,-0.0011,-0.008333,,0.017219,0.00141,,,0.002169999,,,,,,-1.42188,,,-0.072193,0,,,,,-0.002648,0.372249,0.302081,0.895941,0.454023,,0.038618,,,,,,0.256008,,
194903,15.06,0.98,2.38,0.033981,0.029349,0.027,0.0347,0.0227,0.0074,0.0007,0.0117,0.001,0.065073,0.067031,0.158035,0.411765,0.90175,0.011,0.0077,-0.0067,0,,0.014659,0.001121,,,0.002717067,,,,,,-1.425187,,,-0.095491,0,,,,,0.037158,0.358261,0.281216,0.916856,0.464622,,0.043489,,,,,,0.284727,,
